Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,time_sec
0.6891645896479363,19.823183905835,-1.6152328879281395,1.4107723160168628,14.24445463897935,8.118755305267902,8.618451500640035,8.19837065796209,-2.0
0.3624715334850152,19.879025785107306,-1.7343874836004336,1.6896706240808144,14.190647585449186,8.211691338269885,8.585446041836873,7.971938040717092,-1.996
0.0586125464253889,19.993309680150766,-1.788491771252641,2.0540095746841067,14.2047089768265,8.340658292149442,8.571754269390468,7.789969413540779,-1.992
-0.20279565911428143,20.16637568427343,-1.7717711389260031,2.484621550650673,14.27840514706034,8.49436567772686,8.567224835750409,7.647787016639467,-1.988
-0.40213513381623484,20.398083598172203,-1.6799044245470285,2.960636345582833,14.40160179272643,8.66236957781981,8.562708710778914,7.540166179784216,-1.984
-0.520880731981057,20.687901932536843,-1.510002390628047,3.461062217664923,14.563366935546087,8.83573664569227,8.551084070825624,7.462045181789233,-1.98
-0.5429073075629044,21.034627669535215,-1.2608551596001247,3.9659989412380536,14.752718953604779,9.007208047855826,8.52774370586779,7.4088177924902565,-1.976
-0.45585285102858614,21.435835721936666,-0.9333566407987357,4.457485581902172,14.95903043708443,9.170949130538956,8.49056542968627,7.37627600819935,-1.972
-0.2523316533908229,21.887233458846982,-0.5309486600848907,4.920072193186766,15.172185011824167,9.322062638606967,8.43949080315985,7.360361481933605,-1.968
0.06920680380432491,22.382119868844644,-0.05991536550679152,5.341234129721445,15.382620652957732,9.4560792484808,8.375893494176879,7.3569094792466965,-1.964
0.5041246520525512,22.911116143566158,0.47059962091060026,5.711721343240844,15.58137878632551,9.568613162797076,8.30192012958682,7.361531838633741,-1.96
1.0418083121093809,23.46225531505202,1.048899581012934,6.025871239108038,15.7602260337845,9.655290725320578,8.219938430876773,7.369706250969878,-1.956
1.6664066716536492,24.02142297075441,1.6613216106291466,6.281844923440147,15.911850634063631,9.71195518754403,8.132151378539966,7.3770505615270325,-1.952
2.357977518425335,24.57306540728649,2.292998722169376,6.481706028219957,16.030087581541306,9.735060596432954,8.040364906819269,7.379694979004245,-1.948
3.093884927983421,25.101041575761514,2.9286692131517817,6.631258084359352,16.110105846375717,9.722115704624871,7.945851651412618,7.374634853498006,-1.944
3.850277709159919,25.58948176278275,3.553409750555255,6.7395748757703915,16.14848766975675,9.67202423929335,7.849235984449734,7.359944741090442,-1.94
4.603487518028687,26.023523441895435,4.153189336484968,6.81818710757146,16.143139398141432,9.585188276443148,7.750333646447234,7.334756096311405,-1.936
5.331224131882401,26.389835206634533,4.715185873603765,6.879937140180011,16.093008428900504,9.463303850923117,7.647916936113243,7.298953850509453,-1.932
6.013517558237087,26.676918494610522,5.227880351942221,6.937588985216869,15.997648140984955,9.308878644901235,7.539440868887823,7.252632378690973,-1.928
6.63343750115006,26.87526738915066,5.681024501382065,7.0023645464180495,15.856749490271753,9.124608347263667,7.4208338294933185,7.195444977744619,-1.924
7.1776698644692045,26.97752243925352,6.065626368976546,7.082630350345121,15.669802100862768,8.912813588012279,7.286492781934636,7.126040988892872,-1.92
7.637022292227679,26.978743443912283,6.374086091678155,7.182950901660774,15.436029011596128,8.675131642379533,7.129603165620114,7.041777594869605,-1.916
8.006876080403204,26.876855689188357,6.600546683512733,7.303656456638905,15.15466332667791,8.412581234762056,6.942830564601413,6.938819722713269,-1.912
8.28753853691886,26.67323442504033,6.7414385065848235,7.440976748939145,14.825539070781682,8.126011169539092,6.719334826316138,6.81263670177281,-1.908
8.484416205612533,26.37332648670619,6.7961308981971165,7.587705080130725,14.4498926732683,7.816846563641934,6.453973347680357,6.6588109464813,-1.904
8.607934692820688,25.98718221609757,6.767574510617652,7.734293958109501,14.031232199632369,7.487984024518421,6.14451126998684,6.474014942733354,-1.9
