Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,time_sec
-2.155208727620578,15.356928260582201,-1.07750446787277,2.0421025833899353,16.11302961104106,8.272570677699798,11.856521291949248,9.792751691072265,-3.0
-1.9930644397097579,16.627037325983416,0.02123271737892196,2.826493166025622,17.43084116157238,8.916344141559021,12.753870883251665,10.81846539449466,-2.996
-1.8562484609991117,17.774509502850336,1.0888179364637791,3.5435140213240572,18.741431808135513,9.516962762903974,13.597794784849338,11.773210310200936,-2.992
-1.7362174883390002,18.767288431934414,2.0984345895621876,4.171109463351005,20.011881346323594,10.051791609712488,14.367240497740735,12.629898635166454,-2.988
-1.626763150971854,19.57721598472993,3.025327282222757,4.690540765521696,21.210960800061585,10.501248373572603,15.045434656503112,13.368554856303932,-2.984
-1.524330379595817,20.181854803623665,3.8482379737626293,5.087628285375672,22.310823907382588,10.850551505621059,15.620819567983308,13.977491075469448,-2.98
-1.4281014908362053,20.565969252997697,4.550596208468776,5.353711285969789,23.288394115350684,11.090968983448747,16.087509531838542,14.453837795369601,-2.976
-1.339903934243556,20.72250484263212,5.121336136681688,5.486186299208267,24.126328709642227,11.220405421792245,16.445204879231927,14.803350229413649,-2.972
-1.2640029212563784,20.652965336673333,5.555259656203559,5.488534918610354,24.813499370411556,11.24327009708057,16.698565068462607,15.039489682294079,-2.968
-1.2068143429302705,20.367178273517137,5.85294098322087,5.369840545142884,25.345016608092514,11.169704544174278,16.856151339233406,15.181897373170719,-2.964
-1.1765387420379207,19.88253350131915,6.020243706103212,5.143887842408962,25.72190983875025,11.014372244666365,16.929161861530677,15.25448848269152,-2.96
-1.1827110501177218,19.222828152631894,6.067553380109231,4.827988017219456,25.95060388231125,10.795065204174556,16.93022652623693,15.283434858821717,-2.956
-1.2356948243157593,18.416838286999223,6.0088059020343145,4.441659172561234,26.04229185289349,10.531343536684977,16.872471966360614,15.29525939547932,-2.952
-1.346182815908322,17.496705512648756,5.860360459287964,4.0052560383994855,26.012243350392453,10.243345762782567,16.768956161118076,15.315185275601845,-2.948
-1.5247511345139202,16.496229424400568,5.6397768424296375,3.538638914773209,25.87906197787587,9.950851220985742,16.632473256285454,15.365823930536685,-2.944
-1.7814600827798968,15.449190571173197,5.36460241119152,3.059994060695347,25.663915437650623,9.67264424727458,16.475658226708116,15.4662446116843,-2.94
-2.125448315876187,14.387849823318763,5.051305557677968,2.5849250195189475,25.389766464219036,9.426188337885643,16.31126011265905,15.631418785919497,-2.936
-2.5644562629827226,13.341755058108237,4.714484310712129,2.125906393993227,25.080620752446052,9.227561687370528,16.15241049781374,15.871980106054941,-2.932
-3.1042333711265657,12.336945966779929,4.36644132500674,1.6921419143126615,24.760797144590633,9.091562195464686,16.012721344462893,16.194215729215216,-2.928
