Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,time_sec
-11.307425901974085,-7.0358942547313275,-11.52573031110644,-6.800865701657562,-4.058773647226305,-0.6028824624686393,-4.802686054156366,4.354489616675504,-2.0
-11.567108933903159,-7.255288570521029,-11.960458544157408,-7.153896987091143,-4.293085131119655,-0.5121613029216256,-4.4864671213503104,4.6970847941571225,-1.996
-11.830338845645763,-7.45822893161246,-12.372322526734143,-7.559550480540153,-4.586944951624231,-0.5471007480628152,-4.301382484649652,4.904854485167393,-1.992
-12.102460802226528,-7.643054763769473,-12.757160273897984,-8.006470420563701,-4.935291100455995,-0.7064410645550062,-4.262852101501575,4.969404894867455,-1.988
-12.385760285816808,-7.806122865190066,-13.108923594273898,-8.478552252275355,-5.328688620243654,-0.9817833874549637,-4.37720418345156,4.889729157509334,-1.984
-12.679802722698758,-7.9425857866184995,-13.420475158757558,-8.95653474051191,-5.754463935288102,-1.3586195167637476,-4.641726767031513,4.67153619469725,-1.98
-12.981938334936899,-8.047267209412222,-13.684474185636903,-9.419744805072316,-6.1980520064007605,-1.817720549776619,-5.045390862334759,4.326177369450399,-1.976
-13.287781711599713,-8.115435478325768,-13.89413503508813,-9.84771487834213,-6.644300383045512,-2.3366195521527056,-5.570017834197298,3.869415136267482,-1.972
-13.591576698438203,-8.143369221500883,-14.0437481718054,-10.221504597549545,-7.078565945178468,-2.8910183184232947,-6.191722539918063,3.3201925331371207,-1.968
-13.88646193725867,-8.128703335641989,-14.128959816700167,-10.52467196049603,-7.48753880819269,-3.456056440144514,-6.882530113586743,2.699477885416078,-1.964
-14.1647218195708,-8.070607941727129,-14.146881516956201,-10.743922085978141,-7.85980406033332,-4.007458263042494,-7.612102356729435,2.029207354437405,-1.96
-14.418128902426805,-7.969880029456181,-14.096134607023375,-10.869508645054445,-8.186199445076275,-4.522604905977591,-8.349516939732286,1.3313270485289728,-1.956
-14.638452318922587,-7.829014266850336,-13.976921679631726,-10.895469603671955,-8.460038354821286,-4.981560103182967,-9.065023443740563,0.6269399334700623,-1.952
-14.818132172792296,-7.652272750867267,-13.791163236520148,-10.819747376578732,-8.677242078600175,-5.368022425773669,-9.731667113707203,-0.06441932738818501,-1.948
-14.951035987449456,-7.445719965222987,-13.542670276056914,-10.64419496722699,-8.836384541079582,-5.67011980603087,-10.326652312574218,-0.7253460763025235,-1.944
-15.0331630354845,-7.21716173955129,-13.23727939738379,-10.374435559686793,-8.938628208686469,-5.880946805214225,-10.832339486903024,-1.340937594686391,-1.94
-15.063171974414992,-6.975942451384657,-12.882878692854455,-10.019545870439796,-8.987539287521926,-5.99878518954055,-11.236832401112204,-1.8989792632233886,-1.936
-15.042668164657513,-6.732602427956305,-12.489294875920407,-9.591572551350616,-8.988805865225427,-6.027019821628282,-11.534186799731383,-2.3899862524999644,-1.932
-14.976261507123295,-6.498446979785953,-12.0680656888004,-9.104941502365136,-8.949917718900567,-5.973819879537244,-11.724319534034054,-2.8071694205356668,-1.928
-14.871455456535289,-6.285103579001139,-11.632156468792061,-8.57585221426038,-8.8798780669791,-5.8516713443121695,-11.812704040311253,-3.1464026588336367,-1.924
-14.738437442136643,-6.104137261465392,-11.19568226939656,-8.021746596778673,-8.788999275955648,-5.676824689927983,-11.809917412661475,-3.4062588329411376,-1.92
-14.589813347944698,-5.96675969357588,-10.773667036526083,-7.460902070472928,-8.688790113181742,-5.468679398327362,-11.731071074571433,-3.5881511799412245,-1.916
-14.440276208452996,-5.883610733461215,-10.381816576589856,-6.912131518601292,-8.59188017854488,-5.249076994267463,-11.595115356206831,-3.696561833022642,-1.912
-14.306145106788646,-5.864530167365913,-10.036222835548239,-6.394502732441534,-8.511868338089366,-5.0414317291071225,-11.42396854751671,-3.739267727389562,-1.908
-14.204686461397646,-5.91820372864986,-9.752886551533248,-5.9269525830988075,-8.462958342316755,-4.869618049955699,-11.24140851210161,-3.727418684335241,-1.904
-14.153159170905873,-6.051590397951587,-9.546970879226443,-5.527691024832752,-8.459279751973218,-4.756576280411149,-11.071699980520897,-3.675319887218672,-1.9
-14.167599789637396,-6.2691157044299555,-9.431776216854677,-5.21335958838221,-8.513877094176534,-4.722681586756822,-10.938002762009226,-3.599828479378802,-1.896
-14.261444988373755,-6.571708598970687,-9.417516782882968,-4.997989939105272,-8.637443388588334,-4.784004512112645,-10.86067560606642,-3.519357809070284,-1.892
-14.444136670878152,-6.955821785019101,-9.510039861205996,-4.891864074893979,-8.836936210849998,-4.950637420108526,-10.855624594028962,-3.4525518650089513,-1.888
-14.71986605283048,-7.4125977720098675,-9.709651941453357,-4.9004068209944425,-9.114243526632796,-5.225270717547559,-10.932849290320316,-3.416740785015671,-1.884
-15.086609552955512,-7.927346998236452,-10.010223089192088,-5.023262781256468,-9.465085456945024,-5.602198314321529,-11.095339861204543,-3.4263361796830303,-1.88
